Species,Parity
Sphenodon_punctatus,0
Dibamus_bourreti,0
Dibamus_greeri,0
Dibamus_montanus,0
Anelytropsis_papillosus,0
Dibamus_tiomanensis,0
Dibamus_novaeguineae,0
Dibamus_celebensis,0
Dibamus_seramensis,0
Phyllurus_kabikabi,0
Phyllurus_amnicola,0
Phyllurus_platurus,0
Saltuarius_salebrosus,0
Saltuarius_cornutus,0
Saltuarius_wyberba,0
Saltuarius_kateae,0
Saltuarius_moritzi,0
Saltuarius_swaini,0
Orraya_occultus,0
Carphodactylus_laevis,0
Underwoodisaurus_sphyrurus,0
Underwoodisaurus_milii,0
Nephrurus_wheeleri,0
Nephrurus_asper,0
Nephrurus_sheai,0
Nephrurus_amyae,0
Nephrurus_levis,0
Nephrurus_stellatus,0
Nephrurus_vertebralis,0
Nephrurus_deleani,0
Nephrurus_laevissimus,0
Delma_australis,0
Delma_torquata,0
Delma_concinna,0
Delma_labialis,0
Delma_borea,0
Delma_tincta,0
Delma_pax,0
Delma_mitella,0
Delma_impar,0
Delma_molleri,0
Delma_butleri,0
Delma_nasuta,0
Delma_inornata,0
Delma_grayii,0
Delma_fraseri,0
Ophidiocephalus_taeniatus,0
Lialis_jicari,0
Lialis_burtonis,0
Pletholax_gracilis,0
Paradelma_orientalis,0
Pygopus_lepidopodus,0
Pygopus_nigriceps,0
Aprasia_picturata,0
Aprasia_pulchella,0
Aprasia_fusca,0
Aprasia_repens,0
Aprasia_smithi,0
Aprasia_aurita,0
Aprasia_pseudopulchella,0
Aprasia_parapulchella,0
Aprasia_inaurita,0
Aprasia_striolata,0
Pseudothecadactylus_lindneri,0
Rhacodactylus_trachyrhynchus,1
Oedodera_marmorata,0
Dierogekko_poumensis,0
Dierogekko_inexpectatus,0
Dierogekko_nehoueensis,0
Dierogekko_validiclavis,0
Dierogekko_insularis,0
Dierogekko_koniambo,0
Dierogekko_kaalaensis,0
Dierogekko_thomaswhitei,0
Bavayia_pulchella,0
Bavayia_geitaina,0
Bavayia_sauvagii,0
Bavayia_madjo,0
Rhacodactylus_leachianus,0
Bavayia_ornata,0
Bavayia_goroensis,0
Bavayia_cyclura,0
Bavayia_montana,0
Rhacodactylus_auriculatus,0
Rhacodactylus_sarasinorum,0
Rhacodactylus_ciliatus,0
Eurydactylodes_symmetricus,0
Rhacodactylus_chahoua,0
Eurydactylodes_occidentalis,0
Eurydactylodes_agricolae,0
Eurydactylodes_vieillardi,0
Crenadactylus_ocellatus,0
Hoplodactylus_duvaucelii,1
Hoplodactylus_chrysosireticus,1
Hoplodactylus_maculatus,1
Hoplodactylus_stephensi,1
Hoplodactylus_pacificus,1
Hoplodactylus_cryptozoicus,1
Hoplodactylus_nebulosus,1
Hoplodactylus_granulatus,1
Hoplodactylus_kahutarae,1
Hoplodactylus_rakiurae,1
Naultinus_gemmeus,1
Naultinus_elegans,1
Naultinus_grayii,1
Naultinus_tuberculatus,1
Naultinus_stellatus,1
Naultinus_manukanus,1
Naultinus_poecilochlorus,1
Naultinus_rudis,1
Strophurus_taenicauda,0
Oedura_robusta,0
Oedura_lesueurii,0
Oedura_rhombifer,0
Oedura_obscura,0
Oedura_reticulata,0
Oedura_gemmata,0
Oedura_marmorata,0
Oedura_filicipoda,0
Oedura_gracilis,0
Oedura_castelnaui,0
Oedura_coggeri,0
Oedura_tryoni,0
Oedura_monilis,0
Strophurus_mcmillani,0
Strophurus_taeniatus,0
Strophurus_elderi,0
Strophurus_jeanae,0
Strophurus_strophurus,0
Strophurus_assimilis,0
Strophurus_krisalys,0
Strophurus_ciliaris,0
Strophurus_wellingtonae,0
Strophurus_williamsi,0
Strophurus_intermedius,0
Strophurus_rankini,0
Strophurus_spinigerus,0
Rhynchoedura_ornata,0
Lucasium_byrnei,0
Lucasium_alboguttatum,0
Lucasium_maini,0
Lucasium_damaeum,0
Lucasium_immaculatum,0
Lucasium_steindachneri,0
Lucasium_wombeyi,0
Lucasium_stenodactylum,0
Lucasium_squarrosum,0
Diplodactylus_granariensis,0
Diplodactylus_fulleri,0
Diplodactylus_vittatus,0
Diplodactylus_galeatus,0
Diplodactylus_tessellatus,0
Diplodactylus_ornatus,0
Diplodactylus_polyophthalmus,0
Diplodactylus_conspicillatus,0
Diplodactylus_mitchelli,0
Diplodactylus_capensis,0
Diplodactylus_savagei,0
Diplodactylus_klugei,0
Diplodactylus_pulcher,0
Aeluroscalabotes_felinus,0
Coleonyx_elegans,0
Coleonyx_mitratus,0
Coleonyx_variegatus,0
Coleonyx_brevis,0
Goniurosaurus_kuroiwae,0
Goniurosaurus_lichtenfelderi,0
Goniurosaurus_catbaensis,0
Goniurosaurus_araneus,0
Goniurosaurus_luii,0
Eublepharis_turcmenicus,0
Eublepharis_macularius,0
Holodactylus_africanus,0
Hemitheconyx_taylori,0
Hemitheconyx_caudicinctus,0
Quedenfeldtia_moerens,0
Quedenfeldtia_trachyblepharus,0
Aristelliger_lar,0
Aristelliger_georgeensis,0
Aristelliger_praesignis,0
Euleptes_europaea,0
Saurodactylus_fasciatus,0
Teratoscincus_microlepis,0
Teratoscincus_scincus,0
Teratoscincus_roborowskii,0
Teratoscincus_przewalskii,0
Pristurus_celerrimus,0
Pristurus_insignis,0
Pristurus_guichardi,0
Pristurus_sokotranus,0
Pristurus_abdelkuri,0
Pristurus_rupestris,0
Pristurus_flavipunctatus,0
Pristurus_minimus,0
Pristurus_carteri,0
Pristurus_somalicus,0
Pristurus_crucifer,0
Saurodactylus_mauritanicus,0
Coleodactylus_amazonicus,0
Lepidoblepharis_festae,0
Lepidoblepharis_xanthostigma,0
Gonatodes_caudiscutatus,0
Gonatodes_eladioi,0
Gonatodes_daudini,0
Gonatodes_albogularis,0
Gonatodes_vittatus,0
Gonatodes_petersi,0
Gonatodes_infernalis,0
Gonatodes_hasemani,0
Gonatodes_annularis,0
Gonatodes_alexandermendesi,0
Gonatodes_superciliaris,0
Gonatodes_purpurogularis,0
Gonatodes_falconensis,0
Gonatodes_taniae,0
Gonatodes_seigliei,0
Gonatodes_ocellatus,0
Gonatodes_ceciliae,0
Gonatodes_humeralis,0
Gonatodes_concinnatus,0
Gonatodes_antillensis,0
Coleodactylus_septentrionalis,0
Coleodactylus_brachystoma,0
Coleodactylus_natalensis,0
Coleodactylus_meridionalis,0
Pseudogonatodes_manessi,0
Pseudogonatodes_guianensis,0
Pseudogonatodes_lunulatus,0
Sphaerodactylus_sputator,0
Sphaerodactylus_fantasticus,0
Sphaerodactylus_sabanus,0
Sphaerodactylus_elegantulus,0
Sphaerodactylus_parvus,0
Sphaerodactylus_microlepis,0
Sphaerodactylus_kirbyi,0
Sphaerodactylus_vincenti,0
Sphaerodactylus_schwartzi,0
Sphaerodactylus_oliveri,0
Sphaerodactylus_richardi,0
Sphaerodactylus_cricoderus,0
Sphaerodactylus_ramsdeni,0
Sphaerodactylus_glaucus,0
Sphaerodactylus_molei,0
Sphaerodactylus_thompsoni,0
Sphaerodactylus_cinereus,0
Sphaerodactylus_torrei,0
Sphaerodactylus_nigropunctatus,0
Sphaerodactylus_intermedius,0
Sphaerodactylus_copei,0
Sphaerodactylus_elegans,0
Sphaerodactylus_leucaster,0
Sphaerodactylus_shrevei,0
Sphaerodactylus_darlingtoni,0
Sphaerodactylus_cryphius,0
Sphaerodactylus_altavelensis,0
Sphaerodactylus_notatus,0
Sphaerodactylus_argus,0
Sphaerodactylus_roosevelti,0
Sphaerodactylus_macrolepis,0
Sphaerodactylus_armstrongi,0
Sphaerodactylus_townsendi,0
Sphaerodactylus_semasiops,0
Sphaerodactylus_goniorhynchus,0
Sphaerodactylus_klauberi,0
Sphaerodactylus_gaigeae,0
Sphaerodactylus_nicholsi,0
Sphaerodactylus_ocoae,0
Thecadactylus_rapicauda,0
Thecadactylus_solimoensis,0
Asaccus_platyrhynchus,0
Haemodracon_riebeckii,0
Ptyodactylus_ragazzii,0
Ptyodactylus_oudrii,0
Ptyodactylus_guttatus,0
Ptyodactylus_hasselquistii,0
Homonota_gaudichaudii,0
Homonota_fasciata,0
Homonota_andicola,0
Homonota_darwinii,0
Homonota_borellii,0
Homonota_underwoodi,0
Phyllodactylus_wirshingi,0
Phyllodactylus_reissii,0
Phyllodactylus_tuberculosus,0
Phyllodactylus_bordai,0
Phyllodactylus_lanei,0
Phyllodactylus_xanti,0
Phyllodactylus_unctus,0
Phyllodactylus_nocticolus,0
Phyllodactylus_bugastrolepis,0
Phyllodactylus_paucituberculatus,0
Phyllodactylus_delcampoi,0
Phyllodactylus_duellmani,0
Phyllodactylus_homolepidurus,0
Phyllodactylus_davisi,0
Phyllopezus_periosus,0
Phyllopezus_pollicaris,0
Phyllopezus_maranjonensis,0
Bogertia_lutzae,0
Tarentola_americana,0
Tarentola_deserti,0
Tarentola_boehmei,0
Tarentola_mindiae,0
Tarentola_neglecta,0
Tarentola_angustimentalis,0
Tarentola_mauritanica,0
Tarentola_boettgeri,0
Tarentola_annularis,0
Tarentola_ephippiata,0
Tarentola_gomerensis,0
Tarentola_delalandii,0
Geckonia_chazaliae,0
Tarentola_darwini,0
Tarentola_rudis,0
Tarentola_gigas,0
Tarentola_caboverdianus,0
Lepidodactylus_novaeguineae,0
Pseudogekko_compressicorpus,0
Pseudogekko_smaragdinus,0
Luperosaurus_joloensis,0
Lepidodactylus_moestus,0
Lepidodactylus_lugubris,0
Lepidodactylus_orientalis,0
Luperosaurus_cumingii,0
Luperosaurus_macgregori,0
Gekko_gecko,0
Gekko_smithii,0
Gekko_chinensis,0
Gekko_japonicus,0
Gekko_hokouensis,0
Gekko_swinhonis,0
Gekko_auriverrucosus,0
Gekko_athymus,0
Gekko_mindorensis,0
Gekko_monarchus,0
Gekko_romblon,0
Gekko_porosus,0
Gekko_crombota,0
Ptychozoon_rhacophorus,0
Ptychozoon_lionotum,0
Ptychozoon_kuhli,0
Gekko_vittatus,0
Luperosaurus_iskandari,0
Gekko_petricolus,0
Gekko_grossmanni,0
Gekko_badenii,0
Heteronotia_planiceps,0
Heteronotia_spelea,0
Heteronotia_binoei,0
Dixonius_melanostictus,0
Dixonius_siamensis,0
Dixonius_vietnamensis,0
Nactus_acutus,0
Nactus_eboracensis,0
Nactus_vankampeni,0
Nactus_pelagicus,0
Nactus_multicarinatus,0
Nactus_cheverti,0
Nactus_galgajuga,0
Hemiphyllodactylus_typus,0
