lambda0,lambda1,mu0,mu1,q0,q1,likelihood
0.02752482,0.03179608,8.048643E-007,7.014412E-008,0.0005807906,0.002724696,-18159.26
0.02658032,0.03106567,1.777075E-006,9.661839E-008,0.0004499725,0.00381532,-18392.9
0.02664051,0.0310119,4.332524E-006,5.413704E-008,0.0005302283,0.003019997,-18388.74
0.02789006,0.0325772,1.213491E-006,1.006118E-006,0.0005049198,0.003405084,-18205.24
0.02707627,0.03069958,7.128831E-008,0.000000354,0.0005672688,0.002929155,-18353.68
0.02780714,0.03237842,2.140807E-008,4.743844E-006,0.0005325313,0.00325433,-18220.43
0.02765133,0.03205795,7.103601E-007,3.752361E-007,0.0005400636,0.003234348,-18244.58
0.02778163,0.0323684,0.000009746,0.000659171,0.0005939111,0.002938321,-18240.35
0.02738915,0.03212625,3.154268E-007,1.027215E-007,0.0005250197,0.003148613,-18273.97
0.02673068,0.03045168,3.300589E-006,2.414134E-007,0.0004905827,0.003035116,-18388.23
0.02710152,0.03141981,2.364366E-006,3.527161E-007,0.0005019044,0.003618021,-18328.68
0.02741899,0.0316869,3.843182E-011,4.55174E-009,0.0005146139,0.003252468,-18281.74
0.02744865,0.03151959,9.444301E-006,7.13738E-007,0.0005254218,0.003021933,-18285.98
0.0284507,0.03397795,9.178105E-009,1.723602E-007,0.000481501,0.003943684,-18103.17
0.02676517,0.03037792,1.466659E-006,1.938033E-007,0.0005186719,0.00301938,-18395.07
0.02696519,0.03118482,1.107338E-006,4.161423E-007,0.0004919656,0.003425082,-18345.32
0.02734958,0.031408,9.343337E-007,3.182947E-006,0.0005529142,0.003084569,-18298.53
0.02702471,0.0311627,1.883522E-006,4.041824E-007,0.0005054445,0.003447736,-18343.07
0.02776208,0.03227726,4.855616E-006,1.329184E-006,0.0005467353,0.003310992,-18230.06
0.02703126,0.03089454,5.968552E-008,2.629343E-006,0.0005296893,0.003036784,-18346.27
0.0273216,0.03189384,2.316384E-006,6.3984E-007,0.0004862357,0.003584818,-18286.21
0.02731221,0.03147519,2.841222E-006,2.629608E-006,0.0005458786,0.003176371,-18301.82
0.02743663,0.03166039,1.451813E-006,1.621728E-006,0.0005242071,0.003180679,-18281.98
0.02752482,0.03179608,2.189592E-006,5.498475E-006,0.0005282017,0.00323059,-18267.77
0.02778193,0.03261126,1.810588E-007,4.743844E-006,0.0004910509,0.00361001,-18214.86
0.02698381,0.03120827,1.062749E-006,2.855261E-007,0.000491094,0.003473278,-18342.77
0.02682798,0.03099661,1.029399E-007,4.853094E-006,0.0005312811,0.0029697,-18361.19
0.02712834,0.03106378,2.730946E-007,3.350467E-005,0.0005312329,0.003075564,-18334.41
0.02624341,0.03060651,4.173283E-008,1.133155E-005,0.0004584647,0.003138205,-18435.81
0.02715498,0.03236207,5.356712E-006,9.436281E-007,0.0004559582,0.003632939,-18286.95
0.02821528,0.03350356,2.79361E-006,4.02063E-006,0.0005391695,0.003187168,-18136.69
0.02740994,0.03191323,1.318099E-006,2.646555E-006,0.0005969365,0.002833861,-18277.98
0.02633188,0.03026356,1.731758E-005,2.278159E-006,0.0005155621,0.002952687,-18459.01
0.02741188,0.032388,0.000000796,1.199656E-005,0.0005188171,0.003159469,-18255.52
0.02737569,0.03130435,2.272492E-007,1.28693E-005,0.0005546018,0.002685175,-18298.91
0.02773572,0.03230158,1.893965E-008,4.743844E-006,0.0005327949,0.003254762,-18227.3
0.02736573,0.03145012,3.430537E-008,1.475305E-006,0.0005285082,0.00313889,-18294.73
0.02749744,0.03180047,2.996269E-006,3.814301E-006,0.0005313155,0.003213628,-18270.56
0.02773076,0.03222337,2.237817E-006,3.573918E-007,0.0004719754,0.003542022,-18223.5
0.02814389,0.03327015,6.47508E-007,8.171974E-008,0.0004809829,0.003799517,-18157.58
0.02736345,0.03257096,9.305689E-006,3.428708E-006,0.000461825,0.00397277,-18268.6
0.02681246,0.0304435,2.224072E-007,6.531826E-007,0.0006096255,0.0024898,-18384.92
0.02674941,0.03084718,6.866029E-008,8.731445E-008,0.0005687168,0.002725101,-18377.89
0.0275612,0.03235492,3.79282E-006,1.834036E-007,0.0004184344,0.003940117,-18250.87
0.02693882,0.0305493,4.154045E-007,1.392308E-007,0.0005168462,0.003176728,-18366.66
0.02657982,0.03085434,1.768519E-005,3.457763E-006,0.0005442051,0.003191725,-18399.42
0.02772229,0.03227033,2.88448E-006,4.088078E-006,0.000591967,0.002373088,-18217.62
0.02715087,0.03114936,4.386434E-006,3.030398E-006,0.0005417254,0.003065825,-18328.85
0.02653131,0.03055019,9.400923E-007,2.494133E-006,0.0005475397,0.00278549,-18408.31
0.02663687,0.03143321,1.862653E-006,1.719559E-006,0.0004913297,0.00309703,-18368.16
0.02667139,0.03169357,2.967899E-007,5.900834E-006,0.0004957526,0.0033616,-18364.21
0.02668446,0.03080887,1.685554E-006,5.76696E-005,0.0005634692,0.002712821,-18380.29
0.02690063,0.02862046,6.567437E-006,5.949154E-007,0.0006021823,0.002095624,-18421.94
0.0260276,0.03038256,2.975785E-006,3.564504E-006,0.0004509782,0.003186597,-18460.5
0.02841877,0.03386088,1.436873E-007,1.631057E-007,0.0006002076,0.003033299,-18109.63
0.02669485,0.02969631,5.523542E-006,7.147893E-007,0.00055342,0.002581394,-18411.37
0.02719157,0.03087267,1.838541E-008,0.000001256,0.0005026366,0.002834296,-18301.3
0.02721097,0.03074313,4.554036E-007,2.786645E-008,0.0005252191,0.002780189,-18320.06
0.02722027,0.03126471,1.033828E-006,9.550518E-008,0.0005277154,0.002846123,-18321.73
0.02648212,0.03113248,0.000003503,4.624925E-007,0.0005327828,0.002851079,-18394.23
0.02823461,0.03276695,9.27596E-008,1.8548E-006,0.000611476,0.002875047,-18164.27
0.0274335,0.03178169,5.676659E-007,3.139388E-005,0.0005306082,0.003228982,-18283.18
0.02714588,0.03238636,2.616612E-007,3.169214E-007,0.000484638,0.003502844,-18280.44
0.02646342,0.02953549,6.786058E-006,1.788298E-006,0.0004867052,0.002961956,-18440.74
0.02705748,0.0307204,6.518161E-007,9.689669E-011,0.0005704824,0.002551129,-18339.31
0.0279572,0.03172107,4.902896E-006,5.163236E-007,0.0005826124,0.00251771,-18210.36
0.02679992,0.03108753,3.927154E-009,2.05512E-007,0.0004714399,0.00342547,-18362.93
0.02621595,0.03039837,1.118865E-006,1.742376E-005,0.0005285057,0.002721758,-18455.83
0.02590695,0.03011167,8.822556E-008,1.727263E-007,0.0004890225,0.003062622,-18497.31
0.02705223,0.03053824,4.197887e-07,1.256099e-07,0.000553,0.002462458,-18673.55
0.0267248,0.0316606,2.529845e-07,4.968706e-06,0.0004734706,0.003641276,-18696.88
0.02738314,0.03305128,5.735061e-08,1.146991e-05,0.0005223161,0.003346219,-18580.96
0.02641361,0.03003739,9.113851e-08,1.565576e-05,0.0005549091,0.002526547,-18774.08
0.02832401,0.03361548,4.187194e-07,3.583732e-07,0.0005490994,0.003367207,-18462.66
0.02690168,0.0304628,2.045382e-07,2.235657e-06,0.0005052664,0.003005493,-18710
0.02654142,0.03045744,1.494875e-06,1.511143e-06,0.000528323,0.002870778,-18752.88
