Lambda value,mu0,q0,likelihood,Parity
0.02705223,4.197887E-007,0.000553,-18673.55,Oviparity
0.0267248,0.000000253,0.0004734706,-18696.88,Oviparity
0.02738314,5.735061E-008,0.0005223161,-18580.96,Oviparity
0.02641361,9.113851E-008,0.0005549091,-18774.08,Oviparity
0.02832401,4.187194E-007,0.0005490994,-18462.66,Oviparity
0.02690168,2.045382E-007,0.0005052664,-18710,Oviparity
0.02654142,1.494875E-006,0.000528323,-18752.88,Oviparity
0.02663994,1.851731E-008,0.0004989784,-18703.06,Oviparity
0.02585053,1.937729E-005,0.0004632205,-18845.48,Oviparity
0.02632011,6.393582E-007,0.0004507129,-18732.74,Oviparity
0.02690528,2.278383E-006,0.0004841555,-18675.5,Oviparity
0.02651176,1.384634E-006,0.0004831905,-18740.22,Oviparity
0.02576174,1.34367E-007,0.0005896729,-18877.95,Oviparity
0.02622532,3.550242E-005,0.0005046785,-18809.01,Oviparity
0.02730693,6.526173E-008,0.0006990808,-18648.43,Oviparity
0.02657601,4.904063E-007,0.0005149202,-18735.9,Oviparity
0.02648647,3.275848E-006,0.0004976253,-18712.4,Oviparity
0.02738879,1.740254E-006,0.000482817,-18562.12,Oviparity
0.02729485,3.292211E-007,0.0005605007,-18625.79,Oviparity
0.0274936,3.407895E-006,0.0004467258,-18566.01,Oviparity
0.02633768,1.017383E-007,0.0005891455,-18814.3,Oviparity
0.02595734,1.310639E-006,0.0005066773,-18844.58,Oviparity
0.02643802,3.063251E-006,0.000617644,-18800.78,Oviparity
0.02650385,5.0139E-008,0.0005078948,-18719.37,Oviparity
0.02639104,1.04728E-006,0.0005144396,-18784.52,Oviparity
0.02563421,1.041642E-006,0.000443988,-18879.87,Oviparity
0.02655127,5.177651E-007,0.0005474761,-18760.25,Oviparity
0.02626245,5.99835E-007,0.0005557139,-18783.33,Oviparity
0.02641766,9.851953E-009,0.0005029571,-18754.79,Oviparity
0.0267471,3.010515E-008,0.0004909054,-18686.05,Oviparity
0.02710698,1.676352E-008,0.0004467898,-18639.48,Oviparity
0.027544,0.000000832,0.0004730839,-18533.75,Oviparity
0.02666025,1.280398E-006,0.0004605798,-18690.88,Oviparity
0.03053824,1.280398E-006,0.002462458,-18696.88,Viviparity
0.0316606,1.256099E-007,0.003641276,-18580.96,Viviparity
0.03305128,4.968706E-006,0.003346219,-18774.08,Viviparity
0.03003739,1.146991E-005,0.002526547,-18462.66,Viviparity
0.03361548,1.565576E-005,0.003367207,-18710,Viviparity
0.0304628,3.583732E-007,0.003005493,-18752.88,Viviparity
0.03045744,2.235657E-006,0.002870778,-18703.06,Viviparity
0.03113355,1.511143E-006,0.002894948,-18845.48,Viviparity
0.02985177,1.176648E-007,0.002956573,-18732.74,Viviparity
0.03161072,6.919283E-009,0.003526073,-18675.5,Viviparity
0.03165728,2.550658E-006,0.003247907,-18740.22,Viviparity
0.03085332,3.25154E-005,0.003247972,-18877.95,Viviparity
0.02952474,0.000013818,0.002447267,-18809.01,Viviparity
0.02956966,1.656801E-007,0.002715379,-18648.43,Viviparity
0.03115481,2.801671E-005,0.002013869,-18735.9,Viviparity
0.03086986,1.312976E-005,0.003057112,-18712.4,Viviparity
0.03201158,2.644264E-005,0.003463959,-18562.12,Viviparity
0.03328177,2.214074E-007,0.003503316,-18625.79,Viviparity
0.03148636,0.000000023,0.002732045,-18566.01,Viviparity
0.0325071,1.194192E-005,0.003545346,-18814.3,Viviparity
0.02935923,1.042889E-007,0.00243899,-18844.58,Viviparity
0.02940753,1.323067E-007,0.002813447,-18800.78,Viviparity
0.02977276,1.019541E-006,0.002602052,-18719.37,Viviparity
0.03140045,8.848625E-009,0.00295152,-18784.52,Viviparity
0.02977657,1.888553E-007,0.0028885,-18879.87,Viviparity
0.02954918,5.611468E-007,0.003297634,-18760.25,Viviparity
0.03000652,1.469061E-007,0.002648156,-18783.33,Viviparity
0.03017547,0.000002902,0.002481806,-18754.79,Viviparity
0.03104182,1.041209E-005,0.003128917,-18686.05,Viviparity
0.03128476,2.478378E-008,0.002888041,-18639.48,Viviparity
0.03150252,4.541901E-006,0.003455337,-18533.75,Viviparity
