Backgroundlambda0,Bakgroundlambda1,Backgroundmu0,Backgroundmu1,Backgroundq0,Backgroundq1,iglambda0,iglambda1,igmu0,igmu1,igq0,igq1,L
0.02764351,0.03303195,1.512909e-06,2.29541e-06,0.0005431896,0.003347707,0.02549616,0.03237845,2.004694e-06,7.885778e-07,0.0003062251,1.062122e-05,-18576.92
0.02640226,0.03001094,2.049623e-11,2.192996e-11,0.0005448611,0.002560978,0.01284709,0.1334996,3.209985e-09,0.007670994,0.0006255815,138591,-18773.64
0.02849242,0.03369831,0,0,0.0005694702,0.003364131,0.02684622,0.008826167,4.061671e-06,6.65123e-06,0.0003587347,0.0003198338,-18460.53
0.02787952,0.02978585,0,0,0.0006170082,0.002286511,0.02439311,0.03450821,1.327526e-05,3.411784e-05,0.0003531794,0.008247206,-18699.26
0.02686173,0.03032556,0,0,0.0004936272,0.00326199,0.01264953,0.05841326,3.882125e-07,1.037524e-05,0.0002139046,0.05061401,-18751.8
0.02640226,0.03001094,2.049623e-11,2.192996e-11,0.0005448611,0.002560978,0.01284709,0.1334996,3.209985e-09,0.007670994,0.0006255815,138591,-18773.64
0.02849242,0.03369831,0,0,0.0005694702,0.003364131,0.02684622,0.008826167,4.061671e-06,6.65123e-06,0.0003587347,0.0003198338,-18460.53
0.02686173,0.03032556,0,0,0.0004936272,0.00326199,0.01264953,0.05841326,3.882125e-07,1.037524e-05,0.0002139046,0.05061401,-18751.8
0.02626764,0.03157932,2.066471e-08,1.725814e-06,0.0004526754,0.003515106,0.01818407,0.1685346,1.404859e-06,1.768979e-06,0.00974001,0.2141743,-18729.75
0.02703977,0.03153778,0,0,0.0004681895,0.003408494,0.01572052,0.07289575,8.367606e-08,1.553556e-06,0.000829277,0.07505631,-18656.03
0.02720806,0.02992057,4.219958e-06,1.944462e-07,0.0005728812,0.002516699,0.02461972,0.03640418,3.659623e-08,4.310366e-07,0.000361532,0.008945356,-18730.65
0.02585944,0.02944924,0,0,0.0006368906,0.002334069,0.01479299,0.07772722,3.57104e-07,1.735888e-07,0.001647825,0.08389442,-18856.58
0.02668882,0.02911177,0,0,0.0004972707,0.002517892,0.02447142,0.03443934,8.923354e-07,2.205928e-06,0.0003709918,0.00791324,-18803.06
0.02855929,0.03075647,3.082093e-06,2.649876e-05,0.0007792094,0.001686096,0.02380561,0.03592661,2.567305e-07,9.435532e-06,0.0003345073,0.009497391,-18634.01
0.02750949,0.0300368,0,0,0.000587986,0.002026375,0.02460794,0.03345045,3.240861e-05,2.902235e-05,0.000463514,0.007413035,-18725.41
0.02742926,0.03089598,2.648939e-06,5.222476e-08,0.0006558905,0.002084976,0.02432569,0.03745899,1.600496e-06,5.061358e-06,0.000315117,0.009559364,-18696.76
0.02749733,0.03332374,0,0,0.000501018,0.003515273,0.01662034,0.08325908,7.579239e-07,7.962851e-06,0.001875803,0.09165286,-18543.37
0.02752315,0.03110519,0,0,0.0005370882,0.002448169,0.02548286,0.03790447,2.091788e-06,1.886341e-05,0.0002909873,0.01101767,-18615.38
0.02805639,0.03159295,9.926663e-07,9.772858e-08,0.0004543368,0.003152117,0.02590107,0.0392983,2.622172e-06,1.293522e-07,0.0003888588,0.008438797,-18558.47
0.02732563,0.0283476,0,0,0.0008427369,0.001080043,0.02397267,0.03388303,0,0,0.0003371069,0.008445006,-18803.55
0.02579317,0.02950697,0,0,0.0004432797,0.003346787,0.0244109,0.03077432,1.105281e-05,1.702822e-05,0.0003723085,5.692004e-06,-18876.87
0.02705826,0.02932283,0,0,0.0005653369,0.002316742,0.02488818,0.03626693,6.461529e-07,9.291957e-07,0.0003668465,0.0091454,-18753.26
0.02642703,0.03027165,0,0,0.0005749816,0.002576243,0.02489329,0.02698134,9.166486e-07,7.673368e-07,0.0003788441,1.465824e-06,-18780.02
0.02626764,0.03157932,2.066471e-08,1.725814e-06,0.0004526754,0.003515106,0.01818407,0.1685346,1.404859e-06,1.768979e-06,0.00974001,0.2141743,-18729.75




